Departure Airport,Departure Time,Arrival Airport,Arrival Time,Carrier Code,Flight Number,Price (VND),Duration
SGN,2024-11-01 16:10:00,PQC,2024-11-01 17:10:00,VJ,327,2650000.00,PT1H
PQC,2024-11-02 07:15:00,HAN,2024-11-02 09:20:00,VJ,450,2650000.00,PT2H5M
SGN,2024-11-01 14:20:00,PQC,2024-11-01 15:20:00,VJ,329,2650000.00,PT1H
PQC,2024-11-02 09:55:00,HAN,2024-11-02 12:00:00,VJ,452,2650000.00,PT2H5M
SGN,2024-11-01 19:00:00,DLI,2024-11-01 19:55:00,VJ,368,2650000.00,PT55M
DLI,2024-11-01 22:50:00,HAN,2024-11-02 00:40:00,VJ,402,2650000.00,PT1H50M
SGN,2024-11-01 06:15:00,DLI,2024-11-01 07:10:00,VJ,364,2650000.00,PT55M
DLI,2024-11-01 10:20:00,HAN,2024-11-01 12:10:00,VJ,406,2650000.00,PT1H50M
DLI,2024-11-01 12:25:00,HAN,2024-11-01 14:15:00,VJ,408,2650000.00,PT1H50M
DLI,2024-11-02 10:20:00,HAN,2024-11-02 12:10:00,VJ,406,2650000.00,PT1H50M
SGN,2024-11-01 07:45:00,CXR,2024-11-01 08:55:00,VJ,604,2650000.00,PT1H10M
CXR,2024-11-01 11:55:00,HAN,2024-11-01 13:45:00,VJ,776,2650000.00,PT1H50M
SGN,2024-11-01 12:15:00,CXR,2024-11-01 13:25:00,VJ,606,2650000.00,PT1H10M
CXR,2024-11-01 16:40:00,HAN,2024-11-01 18:30:00,VJ,778,2650000.00,PT1H50M
SGN,2024-11-01 13:45:00,DAD,2024-11-01 15:10:00,QH,170,2879000.00,PT1H25M
DAD,2024-11-01 18:25:00,HAN,2024-11-01 19:50:00,QH,124,2879000.00,PT1H25M
SGN,2024-11-01 20:25:00,DAD,2024-11-01 21:50:00,QH,186,2879000.00,PT1H25M
DAD,2024-11-02 13:25:00,HAN,2024-11-02 14:50:00,QH,116,2879000.00,PT1H25M
SGN,2024-11-01 09:25:00,HAN,2024-11-01 11:35:00,QH,214,2900000.00,PT2H10M
SGN,2024-11-01 11:00:00,HAN,2024-11-01 13:10:00,QH,224,2900000.00,PT2H10M
SGN,2024-11-01 15:10:00,HAN,2024-11-01 17:20:00,QH,254,2900000.00,PT2H10M
SGN,2024-11-01 17:30:00,HAN,2024-11-01 19:40:00,VN,6002,2992000.00,PT2H10M
DAD,2024-11-01 20:00:00,HAN,2024-11-01 21:25:00,QH,128,3041000.00,PT1H25M
DAD,2024-11-02 09:25:00,HAN,2024-11-02 10:50:00,QH,104,3041000.00,PT1H25M
SGN,2024-11-01 16:45:00,DLI,2024-11-01 17:35:00,QH,1320,3202000.00,PT50M
DLI,2024-11-02 09:45:00,HAN,2024-11-02 11:45:00,QH,1422,3202000.00,PT2H
SGN,2024-11-01 20:30:00,HUI,2024-11-01 21:55:00,H1,5181,3210000.00,PT1H25M
HUI,2024-11-01 22:45:00,HAN,2024-11-02 00:01:00,H1,4362,3210000.00,PT1H16M
SGN,2024-11-01 14:30:00,DAD,2024-11-01 15:50:00,H1,4430,3210000.00,PT1H20M
DAD,2024-11-01 17:25:00,HAN,2024-11-01 18:45:00,H1,4132,3210000.00,PT1H20M
SGN,2024-11-01 20:15:00,DAD,2024-11-01 21:35:00,H1,4209,3210000.00,PT1H20M
DAD,2024-11-01 23:15:00,HAN,2024-11-02 00:35:00,H1,4269,3210000.00,PT1H20M
SGN,2024-11-01 16:35:00,DAD,2024-11-01 17:55:00,H1,4431,3210000.00,PT1H20M
DAD,2024-11-01 20:40:00,HAN,2024-11-01 22:00:00,H1,4477,3210000.00,PT1H20M
SGN,2024-11-01 04:55:00,DAD,2024-11-01 06:15:00,H1,4157,3210000.00,PT1H20M
DAD,2024-11-01 09:05:00,HAN,2024-11-01 10:25:00,H1,4344,3210000.00,PT1H20M
SGN,2024-11-01 19:05:00,DAD,2024-11-01 20:25:00,H1,4005,3210000.00,PT1H20M
SGN,2024-11-01 12:25:00,DAD,2024-11-01 13:45:00,H1,4372,3210000.00,PT1H20M
DAD,2024-11-01 21:40:00,HAN,2024-11-01 23:00:00,H1,5175,3210000.00,PT1H20M
SGN,2024-11-01 07:25:00,DAD,2024-11-01 08:45:00,H1,4159,3210000.00,PT1H20M
