Departure Airport,Departure Time,Arrival Airport,Arrival Time,Carrier Code,Flight Number,Price (VND),Duration
DAD,2024-09-15 18:25:00,HAN,2024-09-15 19:45:00,QH,116,4454000.0,PT1H20M
SGN,2024-09-15 07:20:00,VCS,2024-09-15 08:15:00,QH,1041,4507000.0,PT55M
SGN,2024-09-15 05:35:00,DAD,2024-09-15 06:55:00,A1,2620,4631000.0,PT1H20M
DAD,2024-09-15 21:25:00,HAN,2024-09-15 22:45:00,A1,2510,4631000.0,PT1H20M
SGN,2024-09-15 16:30:00,CXR,2024-09-15 17:45:00,VN,1350,5577000.0,PT1H15M
CXR,2024-09-15 18:55:00,HAN,2024-09-15 20:55:00,VN,1562,5577000.0,PT2H
SGN,2024-09-15 06:45:00,CXR,2024-09-15 08:00:00,VN,1340,5577000.0,PT1H15M
CXR,2024-09-15 09:25:00,HAN,2024-09-15 11:25:00,VN,1550,5577000.0,PT2H
SGN,2024-09-15 17:35:00,DAD,2024-09-15 19:05:00,VN,142,5845000.0,PT1H30M
DAD,2024-09-15 19:50:00,HAN,2024-09-15 21:20:00,VN,190,5845000.0,PT1H30M
SGN,2024-09-15 16:00:00,DAD,2024-09-15 17:35:00,VN,138,5845000.0,PT1H35M
DAD,2024-09-15 18:25:00,HAN,2024-09-15 19:55:00,VN,182,5845000.0,PT1H30M
SGN,2024-09-15 15:20:00,DAD,2024-09-15 16:45:00,VN,134,6381000.0,PT1H25M
DAD,2024-09-15 17:30:00,HAN,2024-09-15 18:55:00,VN,178,6381000.0,PT1H25M
SGN,2024-09-15 08:00:00,DAD,2024-09-15 09:30:00,VN,114,6381000.0,PT1H30M
DAD,2024-09-15 10:30:00,HAN,2024-09-15 12:00:00,VN,162,6381000.0,PT1H30M
SGN,2024-09-15 11:30:00,DAD,2024-09-15 12:50:00,VJ,628,1219000.0,PT1H20M
SGN,2024-09-15 20:35:00,DAD,2024-09-15 21:55:00,VJ,642,1219000.0,PT1H20M
SGN,2024-09-15 21:45:00,DAD,2024-09-15 23:05:00,VJ,644,1219000.0,PT1H20M
SGN,2024-09-15 09:40:00,DAD,2024-09-15 11:05:00,QH,152,1496000.0,PT1H25M
SGN,2024-09-15 11:00:00,DAD,2024-09-15 12:25:00,QH,154,1496000.0,PT1H25M
SGN,2024-09-15 11:30:00,DAD,2024-09-15 12:50:00,W2,4628,1733000.0,PT1H20M
SGN,2024-09-15 20:35:00,DAD,2024-09-15 21:55:00,W2,4642,1733000.0,PT1H20M
SGN,2024-09-15 21:45:00,DAD,2024-09-15 23:05:00,W2,4644,1733000.0,PT1H20M
SGN,2024-09-15 07:00:00,DAD,2024-09-15 08:20:00,VN,110,1910000.0,PT1H20M
SGN,2024-09-15 08:00:00,DAD,2024-09-15 09:20:00,VN,6502,1910000.0,PT1H20M
SGN,2024-09-15 10:00:00,DAD,2024-09-15 11:20:00,VN,6512,1910000.0,PT1H20M
SGN,2024-09-15 16:00:00,DAD,2024-09-15 17:20:00,VN,6036,1910000.0,PT1H20M
SGN,2024-09-15 19:00:00,DAD,2024-09-15 20:20:00,VN,6038,1910000.0,PT1H20M
SGN,2024-09-15 21:00:00,DAD,2024-09-15 22:20:00,VN,6040,1910000.0,PT1H20M
SGN,2024-09-15 06:00:00,DAD,2024-09-15 07:30:00,VN,106,1910000.0,PT1H30M
SGN,2024-09-15 20:10:00,DAD,2024-09-15 21:40:00,VN,146,1910000.0,PT1H30M
SGN,2024-09-15 21:00:00,DAD,2024-09-15 22:30:00,VN,148,1910000.0,PT1H30M
SGN,2024-09-15 13:05:00,DAD,2024-09-15 14:30:00,VN,130,2447000.0,PT1H25M
SGN,2024-09-15 09:00:00,DAD,2024-09-15 10:30:00,VN,118,2447000.0,PT1H30M
SGN,2024-09-15 10:30:00,DAD,2024-09-15 12:00:00,VN,122,2447000.0,PT1H30M
SGN,2024-09-15 11:45:00,DAD,2024-09-15 13:15:00,VN,126,2447000.0,PT1H30M
HAN,2024-09-15 21:00:00,DAD,2024-09-15 22:20:00,VJ,525,2640000.0,PT1H20M
HAN,2024-09-15 11:35:00,DAD,2024-09-15 12:55:00,VJ,507,2640000.0,PT1H20M
HAN,2024-09-15 10:40:00,DAD,2024-09-15 12:00:00,VJ,505,2640000.0,PT1H20M
HAN,2024-09-15 14:50:00,DAD,2024-09-15 16:10:00,VJ,513,2640000.0,PT1H20M
HAN,2024-09-15 21:30:00,DAD,2024-09-15 22:50:00,VJ,531,2640000.0,PT1H20M
HAN,2024-09-15 19:30:00,DAD,2024-09-15 20:50:00,VJ,509,2640000.0,PT1H20M
HAN,2024-09-15 17:25:00,DAD,2024-09-15 18:45:00,VJ,517,2640000.0,PT1H20M
HAN,2024-09-16 05:40:00,DAD,2024-09-16 07:00:00,VJ,501,2640000.0,PT1H20M
HAN,2024-09-16 06:25:00,DAD,2024-09-16 07:45:00,VJ,503,2640000.0,PT1H20M
SGN,2024-09-15 14:15:00,HPH,2024-09-15 16:15:00,VJ,278,2640000.0,PT2H
HPH,2024-09-15 18:45:00,DAD,2024-09-15 20:00:00,VJ,723,2640000.0,PT1H15M
SGN,2024-09-15 12:10:00,HPH,2024-09-15 14:10:00,VJ,276,2640000.0,PT2H
SGN,2024-09-15 09:00:00,DAD,2024-09-15 10:20:00,VN,6032,2714000.0,PT1H20M
SGN,2024-09-15 12:00:00,DAD,2024-09-15 13:20:00,VN,6034,2714000.0,PT1H20M
HAN,2024-09-15 16:30:00,DAD,2024-09-15 17:55:00,QH,115,3461000.0,PT1H25M
HAN,2024-09-15 20:25:00,DAD,2024-09-15 21:45:00,QH,125,3461000.0,PT1H20M
HAN,2024-09-16 06:05:00,DAD,2024-09-16 07:30:00,QH,101,3461000.0,PT1H25M
HAN,2024-09-16 08:45:00,DAD,2024-09-16 10:10:00,QH,103,3461000.0,PT1H25M
HAN,2024-09-15 21:00:00,DAD,2024-09-15 22:20:00,W2,4525,3640000.0,PT1H20M
SGN,2024-09-15 16:30:00,HAN,2024-09-15 18:40:00,W2,4144,3640000.0,PT2H10M
SGN,2024-09-15 07:00:00,HAN,2024-09-15 09:10:00,W2,4122,3640000.0,PT2H10M
HAN,2024-09-15 11:35:00,DAD,2024-09-15 12:55:00,W2,4507,3640000.0,PT1H20M
HAN,2024-09-15 10:40:00,DAD,2024-09-15 12:00:00,W2,4505,3640000.0,PT1H20M
SGN,2024-09-15 10:10:00,HAN,2024-09-15 12:20:00,W2,4130,3640000.0,PT2H10M
HAN,2024-09-15 14:50:00,DAD,2024-09-15 16:10:00,W2,4513,3640000.0,PT1H20M
HAN,2024-09-15 21:30:00,DAD,2024-09-15 22:50:00,W2,4531,3640000.0,PT1H20M
HAN,2024-09-15 19:30:00,DAD,2024-09-15 20:50:00,W2,4509,3640000.0,PT1H20M
SGN,2024-09-15 06:40:00,HAN,2024-09-15 08:50:00,W2,4168,3640000.0,PT2H10M
HAN,2024-09-15 17:25:00,DAD,2024-09-15 18:45:00,W2,4517,3640000.0,PT1H20M
SGN,2024-09-15 12:00:00,HAN,2024-09-15 14:10:00,W2,4172,3640000.0,PT2H10M
SGN,2024-09-15 23:00:00,HAN,2024-09-16 01:10:00,W2,4164,3640000.0,PT2H10M
HAN,2024-09-16 05:40:00,DAD,2024-09-16 07:00:00,W2,4501,3640000.0,PT1H20M
HAN,2024-09-16 06:25:00,DAD,2024-09-16 07:45:00,W2,4503,3640000.0,PT1H20M
SGN,2024-09-15 14:15:00,HPH,2024-09-15 16:15:00,W2,4278,3640000.0,PT2H
HPH,2024-09-15 18:45:00,DAD,2024-09-15 20:00:00,W2,4723,3640000.0,PT1H15M
SGN,2024-09-15 12:10:00,HPH,2024-09-15 14:10:00,W2,4276,3640000.0,PT2H
HAN,2024-09-15 19:30:00,DAD,2024-09-15 20:50:00,A1,2509,4952000.0,PT1H20M
HAN,2024-09-16 06:25:00,DAD,2024-09-16 07:45:00,A1,2503,4952000.0,PT1H20M
HAN,2024-09-15 23:50:00,DAD,2024-09-16 01:00:00,VN,4031,7933000.0,PT1H10M
HAN,2024-09-15 23:50:00,DAD,2024-09-16 01:00:00,VN,4032,9866000.0,PT1H10M
